Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly Stats Total Sequence Length
Paenibacillus oralis		KCOM 3021					8108289
Paenibacillus rubinfantis		MT18					5370356
Paenibacillus dendrobii		HJL G12					6632024
Paenibacillus terricola		PR3					6776538
Paenibacillus senegalimassiliensis		SIT18					5059704
Paenibacillus faecis		DSM 23593					6343727
Paenibacillus ihumii		AT5					5924107
Gorillibacterium timonense		SN4					5263775
Paenibacillus catalpae		CGMCC 1.10784					6620053
Saccharibacillus endophyticus		CCM 8702					5949745
Cohnella massiliensis		6021052837					6327271
Paenibacillus faecalis		Marseille-P3787					4835346
Paenibacillus silvestris		5J-6					8179699
Paenibacillus lupini		CECT 8235					6666604
Paenibacillus dauci		H9					5449237
Paenibacillus agilis		N4					5805076
Paenibacillus methanolicus		BL24					8262020
Paenibacillus pectinilyticus		KCTC13222					7877932
Paenibacillus tuaregi		Marseille-P2472T					5668632
Paenibacillus hodogayensis		JCM 12520					8416869
Paenibacillus anseongense		MAH-34					8647010
Paenibacillus auburnensis					CIP111892		6439446
Paenibacillus bouchesdurhonensis		Marseille-P3071T					5824920
Paenibacillus sinopodophylli		CCTCC AB 2016047					7041010
Paenibacillus herberti		R33					5414232
Paenibacillus wulumuqiensis		Y24					5240711
Paenibacillus vulneris		JCM 18268					7872765
Paenibacillus tengchongensis		SYSU G01003					6400566
Paenibacillus agricola		S3N08					8375108
Paenibacillus paridis		py1325					7796941
Paenibacillus contaminans		CKOBP-6					10232629
Paenibacillus gallinarum		Sa2BVA9					5411474
Paenibacillus aceti		L14					5611962
Paenibacillus allorhizosphaerae		CIP 111802					8178005
Paenibacillus caseinilyticus		GW78					7580993
Paenibacillus mesophilus		SYSU K30004					8791003
Paenibacillus polysaccharolyticus		BL9					6495147
Paenibacillus phyllosphaerae		CECT 5862					7894703
Fontibacillus phaseoli		CECT 8333					5444741
Cohnella lupini		CECT 8236					6342800
Paenibacillus motobuensis		JCM 12774					5453823
Cohnella caldifontis		YIM B05605					5510416
Paenibacillus lutrae		N10					5538742
Paenibacillus wenxiniae		DSM 100576					5951904
Paenibacillus ferrarius		CY1					9184342
Paenibacillus filicis		KACC14197					7686931
Paenibacillus allorhizoplanae		CIP 111891					8162691
Paenibacillus prosopidis		CECT 7506					6635990
Paenibacillus oenotherae		DT7-4					5694872
Paenibacillus piscarius		P121					7437208
Cohnella terricola		G13					5387258
Paenibacillus soyae		SCIV0701					6868203
Cohnella zeiphila		CBP-2801					7924106
Paenibacillus ginsengarvi		KCTC 13059					8283483
Paenibacillus brevis		MSJ-6					5237811
Paenibacillus endophyticus		CECT 8234					7302688
Paenibacillus luteus		R-3					8511810
Paenibacillus aestuarii		CJ25					7084080
Paenibacillus oleatilyticus		SM69					7899415
Paenibacillus farraposensis		UY79					4962427
Paenibacillus arenosi		CAU 1523					5307553
Paenibacillus puerhi		SJY2					6710097
Paenibacillus alba		LMG 31323					8727313
Paenibacillus oryzisoli		1ZS3-15					8311090
Paenibacillus oryzae		1DrF-4					5905968
Paenibacillus frigoriresistens		LMG 31322					7640421
Paenibacillus plantiphilus		CIP 111893					6062857
Paenibacillus thermoaerophilus		DSM 26310					3702288
Cohnella nanjingensis		DSM 28246					7611037
Paenibacillus pseudetheri		CIP 111894					6640894
Fontibacillus panacisegetis		DSM 28129					5264638
Paenibacillus solani		FJAT-22460					6198757
Paenibacillus roseus		MAHUQ-46					5367904
Paenibacillus taihuensis		CGMCC 1.10966					6788771
Paenibacillus antibioticophila		GD11					5584690
Paenibacillus thermotolerans		YIM B05602					5512032
Fontibacillus solani		CECT 8693					5539036
Paenibacillus marchantiophytorum		CGMCC 1.15043					8254172
Paenibacillus cremeus		JC52					7564172
Paenibacillus hemerocallicola		KCTC 33185					9652120
Brevibacillus massiliensis		phR					5060362
Paenibacillus tianmuensis		CGMCC 1.8946					6029601
Cohnella xylanilytica		DSM 25239					7356379
Paenibacillus xylanivorans		A59					7087286
Cohnella lubricantis		DSM 103658					4469270
Thermobacillus xylanilyticus		XE					4109925
Paenibacillus ihuae		GD6					6725359
Paenibacillus alvei		32					6582090
Paenibacillus alvei		NRRL B-04300					6674793
Brevibacillus thermoruber 423		423					4433503
Paenibacillus barengoltzii G22		G22					4781233
Paenibacillus montaniterrae		J40TS1					6054055
Paenibacillus vini		J42TS3					5636370
Cohnella phaseoli		CECT 7287					9401845
Paenibacillus alkalitolerans		YIM B00362 = KCTC 43272					6337839
Paenibacillus solanacearum					CIP111600		7609664
Paenibacillus profundus		YoMME					6918865
Paenibacillus whitsoniae		MER 54					7421650
