Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly Stats Total Sequence Length
Priestia flexa		CCW CN82					3817052
Priestia flexa		CCW CN82					3817052
Virgibacillus halodenitrificans		ACCC02857					4014983
Virgibacillus halodenitrificans		ACCC02857					4014983
Lysinibacillus pakistanensis		LY92					5249683
Lysinibacillus pakistanensis		LY92					5249683
Brevibacillus agri		ACCC03016					5679319
Brevibacillus agri		ACCC03016					5679319
Neobacillus novalis		XLM17					5668946
Neobacillus novalis		XLM17					5668946
Fictibacillus enclensis		TL11					5093378
Fictibacillus enclensis		TL11					5093378
Paenibacillus sp. G2S3		G2S3					6698229
Paenibacillus sp. G2S3		G2S3					6698229
Neobacillus sp. YX16		YX16					6231385
Neobacillus sp. YX16		YX16					6231385
Neobacillus sp. DY30		DY30					6139711
Neobacillus sp. DY30		DY30					6139711
Neobacillus sp. SuZ13		SuZ13					6085354
Neobacillus sp. SuZ13		SuZ13					6085354
Neobacillus sp. WH10		WH10					5588297
Neobacillus sp. WH10		WH10					5588297
Bacillus sp. DX3.1		DX3.1					5688347
Bacillus sp. DX3.1		DX3.1					5688347
Mesobacillus sp. AQ2		AQ2					4803959
Mesobacillus sp. AQ2		AQ2					4803959
Siminovitchia fortis		XLM16					3738453
Siminovitchia fortis		XLM16					3738453
Halobacillus sp. ACCC02827		ACCC02827					3681492
Halobacillus sp. ACCC02827		ACCC02827					3681492
Bacillus subtilis		MW2_IS1					4074848
Bacillus subtilis		MW2_IS1					4074848
Bacillus cereus		D8_B_47					5761955
Bacillus cereus		D8_B_47					5761955
Bacillus subtilis		D9_B_36					4313688
Bacillus subtilis		D9_B_36					4313688
Bacillus subtilis		b4					4169409
Bacillus subtilis		b4					4169409
Bacillus subtilis		b15					4169409
Bacillus subtilis		b15					4169409
Bacillus subtilis		D9_B_56					4294185
Bacillus subtilis		D9_B_56					4294185
Bacillus subtilis		D9_B_66					4281285
Bacillus subtilis		D9_B_66					4281285
Bacillus subtilis		MB9_B8					4130817
Bacillus subtilis		MB9_B8					4130817
Bacillus velezensis		MB7_B13					4171021
Bacillus velezensis		MB7_B13					4171021
Bacillus velezensis		Canada_S1					3972814
Bacillus velezensis		Canada_S1					3972814
Bacillus velezensis		TZ19					3945250
Bacillus velezensis		TZ19					3945250
Bacillus velezensis		DY26					4109255
Bacillus velezensis		DY26					4109255
Bacillus cereus		D8_B_42					5744840
Bacillus cereus		D8_B_42					5744840
Bacillus cereus		YX23					5281980
Bacillus cereus		YX23					5281980
Bacillus cereus		Tehuacan_S5					5179435
Bacillus cereus		Tehuacan_S5					5179435
Bacillus thuringiensis		Monterrey_S4					5716321
Bacillus thuringiensis		Monterrey_S4					5716321
Bacillus licheniformis		D9_B_45					4378208
Bacillus licheniformis		D9_B_45					4378208
Bacillus altitudinis		J6-2					3871190
Bacillus altitudinis		J6-2					3871190
Bacillus pumilus		GT4_IS1					3719609
Bacillus pumilus		GT4_IS1					3719609
Bacillus mycoides		D8_B_46					5953358
Bacillus mycoides		D8_B_46					5953358
Bacillus mycoides		SIN2.3					5898889
Bacillus mycoides		SIN2.3					5898889
Bacillus toyonensis		G7S3					5694916
Bacillus toyonensis		G7S3					5694916
Lysinibacillus sphaericus		ACCC03577					4563888
Lysinibacillus sphaericus		ACCC03577					4563888
Peribacillus frigoritolerans		G1S1					6015255
Peribacillus frigoritolerans		G1S1					6015255
Peribacillus frigoritolerans		CF15					5595385
Peribacillus frigoritolerans		CF15					5595385
Peribacillus frigoritolerans		CF13					5623000
Peribacillus frigoritolerans		CF13					5623000
Peribacillus simplex		D8_B_41					5423200
Peribacillus simplex		D8_B_41					5423200
Peribacillus simplex		D8_B_37					5404558
Peribacillus simplex		D8_B_37					5404558
Peribacillus simplex		E1_1					5378220
Peribacillus simplex		E1_1					5378220
Bacillus wiedmannii		Munchenroda_S7					5921872
Bacillus wiedmannii		Munchenroda_S7					5921872
Bacillus wiedmannii		D9_B_34					5959068
Bacillus wiedmannii		D9_B_34					5959068
Rossellomorea marisflavi		LC18					4331102
Rossellomorea marisflavi		LC18					4331102
Bacillus sonorensis		YX13					4673031
Bacillus sonorensis		YX13					4673031
Bacillus pseudomycoides		SIN1.1					5949058
Bacillus pseudomycoides		SIN1.1					5949058
Lysinibacillus pakistanensis		LY18					5249485
Lysinibacillus pakistanensis		LY18					5249485
Brevibacillus parabrevis		ACCC02960					6083096
Brevibacillus parabrevis		ACCC02960					6083096
Neobacillus cucumis		JX25					6257745
Neobacillus cucumis		JX25					6257745
Fictibacillus enclensis		b19					5395282
Fictibacillus enclensis		b19					5395282
Fictibacillus enclensis		TL8					5164310
Fictibacillus enclensis		TL8					5164310
Paenibacillus silvae		LY60					7046224
Paenibacillus silvae		LY60					7046224
Neobacillus sp. CF12		CF12					6169805
Neobacillus sp. CF12		CF12					6169805
Lysinibacillus sp. G4S2		G4S2					5539047
Lysinibacillus sp. G4S2		G4S2					5539047
Peribacillus sp. NJ11		NJ11					5855987
Peribacillus sp. NJ11		NJ11					5855987
Peribacillus sp. ACCC06369		ACCC06369					5624650
Peribacillus sp. ACCC06369		ACCC06369					5624650
Bacillus sp. DX1.1		DX1.1					5642017
Bacillus sp. DX1.1		DX1.1					5642017
Peribacillus sp. NJ4		NJ4					5754325
Peribacillus sp. NJ4		NJ4					5754325
Bacillus hominis		DX2.1					5499162
Bacillus hominis		DX2.1					5499162
Bacillus hominis		DX2.3					5557385
Bacillus hominis		DX2.3					5557385
Bacillus sp. DX4.1		DX4.1					5629426
Bacillus sp. DX4.1		DX4.1					5629426
Fictibacillus sp. b24		b24					3935029
Fictibacillus sp. b24		b24					3935029
Fredinandcohnia sp. QZ13		QZ13					4768786
Fredinandcohnia sp. QZ13		QZ13					4768786
Paenibacillus sp. 11B		11B					7147172
Paenibacillus sp. 11B		11B					7147172
Bacillus cereus		SIN1.2					5843396
Bacillus cereus		SIN1.2					5843396
Neobacillus cucumis		WH12					6291318
Bacillus bombysepticus		ACCC01970					5395829
Bacillus bombysepticus		Mi106 D2 head1 chi					5915415
Bacillus bombysepticus		Cuernavaca_S2					6121163
Bacillus altitudinis		J6-1					3718446
Bacillus pumilus		D8_B_31					3502880
Bacillus pumilus		D8_B_31					3502880
Bacillus bombysepticus		ACCC04323					5893783
Cytobacillus sp. NJ13		NJ13					5296019
Cytobacillus sp. NJ13		NJ13					5296019
Ureibacillus composti		AQ11					4454657
