Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly Stats Total Sequence Length
Staphylococcus auricularis		FDAARGOS_882					2216575
Paenibacillus chitinolyticus		KCCM 41400					6509090
Alicyclobacillus acidoterrestris		DSM 3922					4346939
Alkalihalophilus pseudofirmus		DSM 8715					4239319
Bacillus smithii		DSM 4216					3381292
Exiguobacterium sibiricum 255-15		255-15					3040786
Paenibacillus odorifer		DSM 15391					6812473
Paenibacillus kribbensis		AM49					5778702
Alicyclobacillus fastidiosus		DSM 17978					6035649
Cytobacillus dafuensis		FJAT-25496					4916069
Lysinibacillus irui		IRB4-01					4698732
Alicyclobacillus cycloheptanicus		SCH					3617228
Anoxybacillus gonensis		G2					2803668
Salimicrobium jeotgali		MJ3					2776927
Staphylococcus condimenti		NCTC13827					2650496
Staphylococcus kloosii		ATCC 43959					2639038
Paenibacillus sophorae		DSM 23020					5867720
Bacillus cabrialesii		TE3					4125766
Planococcus halocryophilus		DSM 24743					3424893
Paenibacillus durus		DSM 1735					6053498
Bacillus cytotoxicus NVH 391-98		NVH 391-98					4094159
Paenibacillus bovis		BD3526					5517199
Cytobacillus solani		5L6					5207802
Aneurinibacillus soli		CB4					4116770
Virgibacillus natechei		DSM 25609					3867590
Bacillus aquiflavi		3H-10					3806094
Planococcus faecalis		AJ003					3495892
Planococcus kocurii		ATCC 43650					3485580
Kyrpidia spormannii		EA-1					3352175
Anoxybacillus amylolyticus		DSM 15939					3158269
Allobacillus halotolerans		BCRC 17939					2700297
Abyssicoccus albus		S31					1745789
Nosocomiicoccus ampullae		DSM 19163					1551959
Paenibacillus graminis		DSM 15220					7166464
Sutcliffiella cohnii		DSM 6307					4899141
Planococcus antarcticus DSM 14505		DSM 14505					3804624
Planococcus donghaensis		DSM 22276					3319331
Listeria welshimeri		NCTC11857					2814137
Staphylococcus succinus		DSM 14617					2831135
Mammaliicoccus vitulinus		FDAARGOS_1153					2543530
Halobacillus halophilus DSM 2266		type strain: DSM 2266					4170008
Oceanobacillus iheyensis HTE831		HTE831					3630528
Metabacillus sediminilitoris		DSL-17					5602542
Lysinibacillus varians		GY32					4662822
Planococcus versutus		L10.15					3330075
Staphylococcus debuckii		SDB 2975					2691850
Staphylococcus piscifermentans		NCTC13836					2613271
Staphylococcus saccharolyticus		FDAARGOS_1074					2346516
Evansella cellulosilytica DSM 2522		DSM 2522					4681672
Lederbergia lenta		NCTC4824					4384366
Thermobacillus composti KWC4		KWC4					4355525
[Bacillus] selenitireducens MLS10		MLS10					3592487
Kyrpidia tusciae DSM 2912		DSM 2912					3384766
Staphylococcus simiae		NCTC13838					2643976
Amphibacillus xylanus NBRC 15112		NBRC 15112					2569486
Gemella morbillorum		NCTC11323					1760930
Paenibacillus donghaensis		KCTC 13049					8542333
Cohnella herbarum		MFER-1					8522788
Paenibacillus borealis		DSM 13188					8156808
Paenibacillus psychroresistens		ML311-T8					8101785
Paenibacillus andongensis		SS4					7639302
Paenibacillus spongiae		PHS-Z3					7613364
Paenibacillus baekrokdamisoli		KCTC 33723					7261317
Cohnella abietis		KCTC 43028					7059027
Paenibacillus rhizovicinus		14171R-81					7524325
Paenibacillus guangzhouensis		KCTC 33171					6948340
Paenibacillus lycopersici		12200R-189					6743310
Paenibacillus silvisoli		TW38					6734763
Paenibacillus albus		18JY67-1					6632345
Paenibacillus ihbetae		IHBB 9852					6593819
Paenibacillus hexagrammi		YPD9-1					6639679
Paenibacillus lutimineralis		MBLB1234					6497679
Paenibacillus pedocola		TW48					6472393
Cohnella cholangitidis		1605-214					6408853
Paenibacillus aurantius		MBLB1776					6303770
Paenibacillus tianjinensis		TB2019					6273877
Niallia oryzisoli		DSM 29761					6231504
Paenibacillus beijingensis		DSM 24997					5749967
Paenibacillus stellifer		DSM 14472					5658798
Brevibacillus ruminantium		BB3-R1					5636736
Saccharibacillus brassicae		ATSA2					5619468
Cohnella candidum		18JY8-7					5289049
Paenibacillus lentus		DSM 25539					5288676
Lysinibacillus agricola		FJAT-51161					5285903
Paenibacillus sabinae T27		T27					5270569
Tumebacillus avium		AR23208					5249768
Alicyclobacillus mengziensis		S30H14					5293537
Anaerobacillus isosaccharinicus		NB2006					5227144
Paenibacillus albicereus		UniB2					5168992
Gracilibacillus salitolerans		SCU50					5088110
Metabacillus dongyingensis		BY2G20					5416110
Paenibacillus swuensis		DY6					5012599
Paenibacillus yonginensis		DCY84					4985901
Paenibacillus polygoni		C31					4939088
Brevibacillus humidisoli		MMS20-4M-10-Y					4908260
Halobacillus shinanisalinarum		SSTM10-2					4887025
Fodinisporobacter ferrooxydans		MYW30-H2					4856687
Gracilibacillus salinarum		SSPM10-3					4801263
Alicyclobacillus dauci		DSM 28700					4881158
Paenibacillus crassostreae		LPB0068					4757181
Tumebacillus algifaecis		THMBR28					4516965
Salicibibacter cibarius		NKC5-3					4513310
Gracilibacillus caseinilyticus		SSWR10-1					4509959
Paenibacillus algicola		HB172198					4475055
Brevibacillus composti		FJAT-54423					4468589
Bacillus shivajii		JCM 32183					4440119
Bacillus weihaiensis		Alg07					4361276
Virgibacillus necropolis		LMG 19488					4337422
Psychrobacillus glaciei		PB01					4351338
Heyndrickxia vini		JCM 19841					4309805
Halobacillus salinarum		SSBR10-3					4240228
Paenibacillus protaetiae		FW100M-2					4228822
Halobacillus naozhouensis		KCTC 13234					4237314
Halobacillus amylolyticus		SSHM10-5					4299351
Solibacillus daqui		ZS111008			Daqu		4107949
Oceanobacillus zhaokaii		160					4103611
Sediminibacillus dalangtanensis		DP4-553-S					4100703
Cytobacillus spongiae		CY-G					4789051
Virgibacillus phasianinus		LM2416					4071214
Shouchella hunanensis		DSM 23008					4064600
Brevibacillus marinus		SCSIO 07484					4079826
Paenalkalicoccus suaedae		M4U3P1					4040495
Radiobacillus kanasensis		80					4031766
Planococcus liqunii		N056					3955745
Paenisporosarcina antarctica		CGMCC 1.6503					3972524
Lentibacillus amyloliquefaciens		LAM0015					3858284
Aneurinibacillus uraniidurans		B1					3853322
Salicibibacter cibi		NKC21-4					3814380
Salicibibacter halophilus		NKC3-5					3754174
Lentibacillus daqui		ZS110521					3752521
Paraliobacillus zengyii		X-1125					3728451
Planococcus lenghuensis		Y42					4149733
Alkalicoccus halolimnae		BZ-SZ-XJ29					3694897
Salicibibacter kimchii		NKC1-1					3641602
Novibacillus thermophilus		SG-1					3629225
Radiobacillus deserti		TKL69					3615398
Salisediminibacterium beveridgei		MLTeJB					3582268
Kroppenstedtia eburnea		DSM 45196					3564999
Planococcus rifietoensis		M8					3505011
Sporosarcina oncorhynchi		T2O-4					3480384
Effusibacillus dendaii		skT53					3454394
Sporosarcina ureilytica		LMG 22257					3436578
Kroppenstedtia pulmonis		W9323					3345811
Planococcus plakortidis		DSM 23997					3261818
Sporosarcina jeotgali		B2O-1					3203634
Polycladomyces abyssicola		JIR-001					3197230
Bacillus fonticola		CS13					3159449
Fervidibacillus albus		MEBiC13591					3150493
Mangrovibacillus cuniculi		R1DC41					3153416
Sporosarcina trichiuri		0.2-SM1T-5					3056487
Tepidibacillus marianensis		LSZ-M11000					2965063
Fervidibacillus halotolerans		MEBiC13594					2938013
Staphylococcus casei		DSM 15096					2913362
Staphylococcus schweitzeri		NCTC13712					2784939
Aciduricibacillus chroicocephali		44XB					2730537
Staphylospora marina		SCSIO 07575					2751094
Staphylococcus lloydii		23_2_7_LY					2569383
Paenisporosarcina cavernae		K2R23-3					2537131
Staphylococcus lutrae		ATCC 700373					2533115
Mammaliicoccus stepanovicii		NCTC13839					2439098
Staphylococcus ratti		CCM 9025					2323337
Macrococcus armenti		JEK37					2205777
Staphylococcus hsinchuensis		H164					2278600
Jeotgalicoccus saudimassiliensis		13MG44_air					2191063
Staphylococcus muscae		NCTC13833					2095116
Staphylococcus aureus subsp. aureus NCTC 8325		NCTC 8325					2821361
Listeria monocytogenes EGD-e		EGD-e					2944528
Bacillus cereus		FORC_047					5836971
Bacillus amyloliquefaciens		GKT04					4149690
Bacillus anthracis str. 'Ames Ancestor'		Ames Ancestor; A2084					5503926
Bacillus altitudinis		GR-8					3681784
Bacillus pumilus SAFR-032		SAFR-032					3704641
Bacillus safensis		PgKB20					3786744
Bacillus paralicheniformis		Bac84					4376831
Priestia aryabhattai		K13					5254250
Bacillus paranthracis		Bt C4					5537675
Bacillus halotolerans		ZB201702					4154245
Bacillus mycoides		BPN36/3					5697065
Staphylococcus hominis		FDAARGOS_575					2257431
Bacillus atrophaeus		SW					4292910
Staphylococcus xylosus		SMQ-121					2757557
Staphylococcus warneri		22.1					2541629
Bacillus toyonensis		P18					5787787
Lysinibacillus fusiformis		RB-21					4843789
Bacillus pacificus		anQ-h4					5594640
Staphylococcus lugdunensis		FDAARGOS_141					2571829
Peribacillus frigoritolerans		JHS1					5568581
Bacillus inaquosorum		A65.1					4242130
Bacillus wiedmannii		SR52					5585953
Staphylococcus pasteuri		FDAARGOS_1069					2484808
Paenibacillus larvae subsp. larvae		Eric_IV					4378174
Bacillus tropicus		T36S-23					5319187
Brevibacillus borstelensis		CP19					5602664
Priestia flexa		DMP08					3999911
Bacillus vallismortis		Bac111					3958372
Anoxybacillus flavithermus WK1		WK1					2846746
Rossellomorea marisflavi		UTDF19-31A					4310313
Bacillus stercoris		Mal05					4282228
Bacillus sonorensis		PMC204					4827387
Staphylococcus equorum		FDAARGOS_1068					2772325
Paenibacillus mucilaginosus K02		K02					8819200
Staphylococcus gallinarum		STP534					2942339
Paenibacillus elgii		L146					7750416
Paenibacillus amylolyticus		Y5S-7					7361451
Bacillus albus		SXL388					5889853
Bacillus glycinifermentans		SRCM103574					4810226
Staphylococcus agnetis		1379					2449249
Staphylococcus chromogenes		17A					2394574
Geobacillus thermodenitrificans		KCTC3902					3505276
Staphylococcus simulans		IVB6189					2682239
Staphylococcus nepalensis		JS11					3007747
Staphylococcus schleiferi		IVB6183					2520325
Bacillus tequilensis		EA-CB0015					4012371
Exiguobacterium acetylicum		SI17					3396606
Virgibacillus halodenitrificans		PDB-F2					3917759
Sporolactobacillus terrae		EFEL7003					3344205
Paenibacillus dendritiformis		J27TS7					6547390
Niallia circulans		FDAARGOS_783					5179558
Halalkalibacterium halodurans					LB-1		4315604
Staphylococcus caprae		JMUB898					2598513
Bacillus mojavensis		UCMB5075					4031121
Brochothrix thermosphacta		TMW 2.1564					2578375
Geobacillus kaustophilus HTA426		HTA426					3592666
Lysinibacillus pakistanensis		LY1					5249694
Pseudalkalibacillus hwajinpoensis		MABIK MI00000821					4369347
Bacillus haynesii		P19					4235749
Staphylococcus ureilyticus		IVB6236					2677037
Planococcus glaciei		CNCTC7660					4091551
Brevibacillus parabrevis		B3					6088079
Paenibacillus antarcticus		KACC 11469					5415779
Lysinibacillus capsici		anQ-h6					4691642
Exiguobacterium profundum		TSS-3					2884728
Thermoactinomyces vulgaris		2H					2638027
Sutcliffiella horikoshii		20a					4295882
Laceyella sacchari		FBKL4.014					3383707
Parageobacillus caldoxylosilyticus		ER4B					3963526
Parageobacillus toebii		NEB718					3456418
Paenibacillus jilunlii		KACC 16679					7105405
Paenibacillus xylanexedens		PAMC 22703					7098239
Paenibacillus brasilensis		KACC 13842					5643381
Peribacillus butanolivorans		PHB-7a					5568346
Paenibacillus naphthalenovorans		32O-Y					5200139
Bacillus swezeyi		EA208					4527066
Virgibacillus dokdonensis		21D					4263520
Fictibacillus phosphorivorans		G25-29					4230665
Bacillus xiamenensis		VV3					3637729
Listeria newyorkensis		CMB191063					3341532
Ureibacillus thermosphaericus		A1					3488104
Listeria weihenstephanensis		WS 4560					3406292
Sporosarcina pasteurii		BNCC 337394					3253966
Exiguobacterium alkaliphilum		B-3531D					3029824
Staphylococcus delphini		IVB6190					2616750
Staphylococcus pettenkoferi		FDAARGOS_288					2502360
Paenibacillus agaridevorans		HCL2020					9041977
Paenibacillus tritici		PH55-1					7708938
Paenibacillus barcinonensis		KACC11450					6393895
Paenibacillus hunanensis		Y9					5688415
Bacillus luti		FJ					5315231
Lysinibacillus macroides		FDAARGOS_925					4862621
Sporosarcina psychrophila		DSM 6497					4674191
Cytobacillus gottheilii		1839					4584688
Shouchella rhizosphaerae		CP20					4278682
Bacillus rugosus		A78.1					4146938
Caldifermentibacillus hisashii		FSL W8-0862					3956336
Paenibacillus cellulosilyticus		KACC 14175					7132339
Aeribacillus composti		HB-1					3834459
Anoxybacillus caldiproteolyticus		U458					3789050
Aneurinibacillus thermoaerophilus		CCM 8960					3731915
Terribacillus goriensis		MP602					3577082
Macrococcoides bohemicum		19Msa422					2362417
Macrococcoides canis		B8					2358201
Geobacillus zalihae		JS1-2					3567837
Sporosarcina ureae		S204					3362333
Caldalkalibacillus thermarum TA2.A1		TA2.A1					3344914
Paenibacillus terrae HPL-003		HPL-003					6083395
Gemella sanguinis		FDAARGOS_742					1796606
Paenibacillus urinalis		2022CK-00829					5861041
Heyndrickxia faecalis		TCI803					3521380
Lysinibacillus parviboronicapiens		VT1065					4822805
Peribacillus psychrosaccharolyticus		FDAARGOS_1161					4681292
Paenibacillus azoreducens		J34TS1					7316152
Paenibacillus marchantiae		BMpBG1					6983959
Paenibacillus tundrae		MLY93					6534616
Paenibacillus cellulositrophicus		KACC 16577					7424799
Cytobacillus pseudoceanisediminis		GXU-Z9					5392635
Paenibacillus woosongensis		B2_4					5289572
Paenibacillus kyungheensis		KACC 18744					5260882
Paenibacillus nuruki		AASFL403			AASFL403		5066866
Bacillus arachidis		YX15					5218944
Lysinibacillus telephonicus		FSL R5-0572					4600239
Halobacillus mangrovi		KTB 131					4142697
Brevibacillus aydinogluensis		4475			4475		4105500
Lysinibacillus louembei		Ll15					3960254
Listeria swaminathanii		UTK S2-0008					2848613
Macrococcus epidermidis		Epi3002-OL					2480757
Macrococcus equipercicus		Epi0143-OL					2182654
Macrococcus brunensis		18KM571					2123615
Macrococcus bovicus		LI0213					2157095
Paenibacillus thiaminolyticus		NRRL B-4156					6612542
Paenibacillus glucanolyticus		DSM 5162					5897585
Mesobacillus jeotgali		DSM 18226					4703554
Paenibacillus uliginis N3/975		N3/975					6452185
Metabacillus endolithicus		KCTC 33579					5297881
Shouchella miscanthi		AK13					4250708
Paenibacillus physcomitrellae		XB					4828665
Bacillus gobiensis		FJAT-4402					4597707
Mammaliicoccus lentus		Colony453					2802382
Staphylococcus coagulans		1031336					2483061
Staphylococcus pseudoxylosus		Colony297					2910105
Ureibacillus thermophilus		LM102					3017325
Bacillus thuringiensis serovar berliner ATCC 10792		ATCC 10792					6260142
Bacillus pseudomycoides DSM 12442		DSM 12442					5782514
Oceanobacillus kimchii X50		X50					3830781
Lysinibacillus timonensis		Marseille-P5727					4220244
Paenibacillus peoriae KCTC 3763		KCTC 3763					5771987
Priestia filamentosa		DSM 27955					5149214
Aneurinibacillus migulanus		DSM 2895					6348994
Priestia endophytica DSM 13796		DSM 13796					5118421
Bacillus badius		DSM 28241					3963196
Anoxybacillus ayderensis		DSM 14988					2560828
Lysinibacillus xylanilyticus		DSM 23493					5221635
Gottfriedia acidiceleris		DSM 18954					4770625
Anoxybacillus rupiensis		DSM 17127					3705654
Brevibacillus formosus		DSM 9885					6215362
Cytobacillus oceanisediminis		CGMCC 1.10115					5634660
Metabacillus halosaccharovorans		DSM 25387					5399367
Brevibacillus reuszeri		DSM 9887					6986486
[Bacillus] enclensis		SGD-1123					4481988
Neobacillus drentensis		FJAT-10044					5305306
Shouchella lehensis		DSM 19099					3995080
Rummeliibacillus pycnus		DSM 15030					3851193
Neobacillus mesonae		FJAT-13985					5807726
Bacillus nitratireducens		4049					5933421
Paenibacillus qinlingensis		TEGT-2					8964429
Psychrobacillus psychrodurans		DSM 11713					4027030
Virgibacillus chiguensis		CGMCC 1.6496					4128320
Neobacillus novalis		FJAT-14227					5668192
Paenibacillus massiliensis 2301065 = DSM 16942		DSM 16942					6385800
Aneurinibacillus aneurinilyticus ATCC 12856		ATCC 12856					5313859
Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604		CGMCC 1.3604					4210001
Exiguobacterium undae DSM 14481		DSM 14481					3246106
Alteribacillus bidgolensis		DSM 25260					4703180
Virgibacillus dakarensis		Marseille-P3469T					4753046
Heyndrickxia acidicola		DSM 14745					5138363
Halobacillus salinus		HSL-3					3739998
Brevibacillus choshinensis		DSM 8552					6279095
Fictibacillus enclensis		NIO-1003					4500901
Paenibacillus castaneae		DSM 19417					6305522
Chryseomicrobium excrementi		ET03					2643527
Alkalicoccobacillus gibsonii		DSM 8722					3932415
Salipaludibacillus neizhouensis		DSM 19794					5511086
Bacillus bingmayongensis		FJAT-13831					5477100
Salisediminibacterium halotolerans		DSM 26530					2841072
Paenibacillus mendelii		C/2					8136757
Rummeliibacillus suwonensis		G20					4105740
Planococcus citreus		DSM 20549					3429284
Halobacillus karajensis		DSM 14948					4070894
Salinicoccus halodurans		CGMCC 1.6501					2735405
Halobacillus dabanensis		CGMCC 1.3704					4137344
Alkalihalobacillus hemicentroti		DSM 23007					4108551
Heyndrickxia shackletonii		LMG 18435					5297592
Tenuibacillus multivorans		CGMCC 1.3442					2950395
Alkalicoccobacillus plakortidis		DSM 19153					3967762
Ureibacillus acetophenoni		JC23					3977008
Thermolongibacillus altinsuensis		DSM 24979					2900938
Paenibacillus algorifonticola		CGMCC 1.10223					7468281
Pseudogracilibacillus auburnensis		DSM 28556					4779970
Bacillus gaemokensis		KCTC 13318					5616250
Paenibacillus anaericanus		DSM 15890					6069163
Lysinibacillus composti		MCCC 1A13240					4259757
Peribacillus cavernae		L5					4547591
Anoxybacillus kestanbolensis		K1					2722200
Paenibacillus typhae		CGMCC 1.11012					6740451
Cytobacillus praedii		FJAT-25547					5271464
Paenibacillus senegalensis JC66		JC66					5614755
Peribacillus muralis		DSM 16288					5191302
Halolactibacillus halophilus		DSM 17073					2704097
Virgibacillus salarius		JCM 12946					4360315
Sediminibacillus halophilus		CGMCC 1.6199					4149758
Neobacillus soli		DSM 15604					5579901
Thalassobacillus devorans		CCM 7282					4050919
Neobacillus vireti		DSM 15602					5309094
Paenibacillus macquariensis		ATCC 23464					6263229
Paenibacillus pinihumi DSM 23905 = JCM 16419		DSM 23905					6760575
Paenibacillus sanguinis 2301083 = DSM 16941		DSM 16941					4804136
Siminovitchia fordii DSM 16014 = CIP 108821		DSM 16014					4509444
Exiguobacterium marinum DSM 16307		DSM 16307					2814016
Alteribacter aurantiacus DSM 18675		DSM 18675					4023079
Paenibacillus curdlanolyticus YK9		YK9					5452778
Paucisalibacillus globulus DSM 18846		DSM 18846					4238191
Caldibacillus debilis DSM 16016		DSM 16016					3059517
Staphylococcus massiliensis CCUG 55927		CCUG 55927					2366595
Litchfieldia alkalitelluris		DSM 16976					5427045
Jeotgalicoccus aerolatus		CIP 111750					2102110
Sporosarcina globispora		DSM 4					5673948
Paenibacillus rhizosphaerae		CECT 5831					7550850
Sporolactobacillus pectinivorans		GD201205					3926895
Paenibacillus silvae		CGMCC 1.12770					6853520
Cohnella pontilimi		CAU 1483					4289335
Terribacillus aidingensis		CGMCC 1.8913					3389510
Evansella clarkii		DSM 8720					5476388
Psychrobacillus psychrotolerans		DSM 11706					3607666
Fredinandcohnia onubensis		0911MAR22V3					4848595
Saliterribacillus persicus		DSM 27696					3763507
Bacillus benzoevorans		DSM 5391					4701532
Paenibacillus etheri		SH7					6634505
Terrihalobacillus insolitus		3ASR75-11					3660390
Alicyclobacillus macrosporangiidus		DSM 17980					3789420
Alkalihalobacillus pseudalcaliphilus		DSM 8725					4475347
Anoxybacillus tepidamans		DSM 16325					3386024
Ureibacillus chungkukjangi		KACC 16626					3877942
Planifilum fimeticola		DSM 44946					3587211
Paenibacillus sinensis		HN-1					6317529
Bacillus timonensis		MM10403188					4657724
Pallidibacillus thermolactis		DSM 23332					3274654
Paenibacillus darwinianus		Br					3004450
Cohnella panacarvi Gsoil 349		Gsoil 349					4772825
Thermicanus aegyptius DSM 12793		DSM 12793					3657623
Paenibacillus harenae DSM 16969		DSM 16969					6968425
Halobacillus kuroshimensis DSM 18393		DSM 18393					3845569
Paenibacillus terrigena DSM 21567		DSM 21567					6361561
Salinibacillus aidingensis		JCM 12389					3492180
Salsuginibacillus kocurii DSM 18087		DSM 18087					3831781
Saccharibacillus sacchari DSM 19268		DSM 19268					6075237
Paenibacillus assamensis DSM 18201		DSM 18201					5027965
Paenibacillus taiwanensis DSM 18679		DSM 18679					5247653
Paenibacillus daejeonensis DSM 15491		DSM 15491					7464058
Gracilibacillus lacisalsi DSM 19029		DSM 19029					4409254
Shimazuella kribbensis DSM 45090		DSM 45090					4185101
Jeotgalicoccus psychrophilus DSM 19085		DSM 19085					2345682
Alicyclobacillus pomorum DSM 14955		DSM 14955					3398558
Saccharibacillus kuerlensis DSM 22868		DSM 22868					4699563
Salibacterium aidingense DSM 18341		DSM 18341					4418137
Jeotgalicoccus marinus DSM 19772		DSM 19772					2109822
Peribacillus kribbensis DSM 17871		DSM 17871					5052265
Halalkalibacillus halophilus DSM 18494		DSM 18494					2707549
Paenibacillus fonticola DSM 21315		DSM 21315					6309271
Amphibacillus jilinensis Y1		Y1					3836603
Alicyclobacillus herbarius DSM 13609		DSM 13609					3310509
Alkalicoccus chagannorensis DSM 18086		DSM 18086					3519702
Fictibacillus gelatini DSM 15865		DSM 15865					4171218
Cohnella laeviribosi DSM 21336		DSM 21336					4476185
Paenibacillus ginsengihumi DSM 21568		DSM 21568					5675308
Tuberibacillus calidus DSM 17572		DSM 17572					3242009
Ectobacillus panaciterrae DSM 19096		DSM 19096					5411691
Alicyclobacillus contaminans DSM 17975		DSM 17975					3272318
Gemella cuniculi DSM 15828		DSM 15828					1869681
Cohnella thermotolerans DSM 17683		DSM 17683					5051029
Aneurinibacillus terranovensis DSM 18919		DSM 18919					4247673
Heyndrickxia acidiproducens DSM 23148		DSM 23148					3318479
Gemella bergeri ATCC 700627		ATCC 700627					1604508
Salipaludibacillus agaradhaerens		DSM 8721					4319439
Bacillus alkalicellulosilyticus		FJAT-44921					4751847
Paenibacillus segetis		CGMCC 1.12769					5502902
Shouchella patagoniensis		DSM 16117					4646905
Alteribacter populi		FJAT-45347					4517958
Lysinibacillus contaminans		DSM 25560					4100313
Oceanobacillus timonensis		Marseille-P3532					4485339
Bacillus alkalisoli		FJAT-45122					3897731
Cohnella ginsengisoli		DSM 18997					7220644
Priestia taiwanensis		CGMCC 1.12698					3824541
Paenibacillus dokdonensis		YH-JAE5					6476225
Paenibacillus oralis		KCOM 3021					8108289
Priestia abyssalis		DSM 25875					5773895
Massilibacterium senegalense		mt8					2849407
Bacillus xiapuensis		FJAT-46582					3264462
Sutcliffiella halmapala		DSM 8723					4701879
Alkalihalobacillus macyae		DSM 16346					4256776
Fictibacillus solisalsi		CGMCC 1.6854					4797611
Paenibacillus rubinfantis		MT18					5370356
Fictibacillus terranigra		CENA-BCM004					4967627
Virgibacillus salexigens		DSM 11483					4417754
Halobacillus locisalis		KCTC 3788					3733293
Risungbinella massiliensis		GD1					3421198
Pseudalkalibacillus sedimenti		FJAT-53715					4319979
Paenibacillus dendrobii		HJL G12					6632024
Lederbergia citrea		FJAT-49754					4207523
Bacillus massilionigeriensis		Marseille-P2348T					4216923
Paenibacillus terricola		PR3					6776538
Lederbergia citrisecunda		FJAT-49732					4729684
Bacillus changyiensis		CLL-3-40					3712035
Paenibacillus senegalimassiliensis		SIT18					5059704
Paenibacillus faecis		DSM 23593					6343727
Neobacillus rhizophilus		FJAT-49825					6328293
Paenibacillus ihumii		AT5					5924107
Perspicuibacillus lycopersici		JCM 19140					3638728
Gracilibacillus phocaeensis		Marseille-P3801					4659174
Gorillibacterium timonense		SN4					5263775
Shouchella tritolerans		FJAT-45399					4621128
Paenibacillus catalpae		CGMCC 1.10784					6620053
Saccharibacillus endophyticus		CCM 8702					5949745
Fictibacillus aquaticus		GDSW-R2A3					3900789
Cohnella massiliensis		6021052837					6327271
Ornithinibacillus massiliensis		Marseille-P3601					3865210
Exiguobacterium algae		S126					2604965
Paenibacillus faecalis		Marseille-P3787					4835346
Alkalihalobacterium alkalinitrilicum		DSM 22532					5523573
Paenibacillus silvestris		5J-6					8179699
Bhargavaea ginsengi		CGMCC 1.6763					3101161
Alteribacter natronophilus		M30					3969381
Edaphobacillus lindanitolerans		MNA4					3052035
Calidifontibacillus oryziterrae		ZYK					3575797
Sediminibacillus albus		CGMCC 1.6502					3565081
Paenibacillus lupini		CECT 8235					6666604
Planococcus ruber		CGMCC 1.19134					3371367
Halalkalibacillus sediminis		B3227					2863218
Paenibacillus dauci		H9					5449237
Gemella massiliensis		Marseille-P3249T					1804814
Paenibacillus agilis		N4					5805076
Shouchella oshimensis		DSM 18940					4058377
Bacillus sinesaloumensis		Marseille-P3516T					4556449
Bacillus massiliglaciei		Marseille-P2600T					4145721
Tumebacillus amylolyticus		ITR2					4805799
Paenibacillus methanolicus		BL24					8262020
Bacillus mediterraneensis		Marseille-P2366					3340964
Planococcus wigleyi		Sa1BUA13					3752086
Sediminibacillus terrae		JSM 102062					4093757
Gracilibacillus kekensis		CGMCC 1.10681					3981756
Geomicrobium halophilum		DSM 21769					3510585
Paenibacillus pectinilyticus		KCTC13222					7877932
Bacillus ndiopicus					FF3		4068163
Bacillus oleivorans		JC228					4511824
Siminovitchia acidinfaciens		3-2-2					4311621
Paenibacillus tuaregi		Marseille-P2472T					5668632
Paenibacillus hodogayensis		JCM 12520					8416869
Paenibacillus anseongense		MAH-34					8647010
